nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
CT MATHEU III,MAT3,Térmica,CT MATHEU III - ARAUCARIA ENER,TG,TURBO GAS,254,BUENOS AIRES,Pilar,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.8352949261538,-34.3972266727504]}"
CT LUJAN BSAS,LUJB,Térmica,CT LUJAN II - ARAUCARIA ENERGY,TG,TURBO GAS,127.3,BUENOS AIRES,Luján,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.0337739538473,-34.5576587794723]}"
P.E. CORTI,CORTEO,Eólica,P.EOLICO Ing.CEBREIRO exCORTI,EOL,EOLICA,100,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,EOL-44,,cammesa,"{""type"":""Point"",""coordinates"":[-62.0259659119423,-38.6748878621595]}"
MANANTIALES BEHR (YPF),MANAEO,Eólica,P.EOLICO MANANTIALES BEHR,EOL,EOLICA,99,CHUBUT,Escalante,,Interconectado MEM,,MAT-EOL-18,,cammesa,"{""type"":""Point"",""coordinates"":[-67.7542615835195,-45.6513552441018]}"
P.S. Caldenes O,CALOFV,Fotovoltaica,C.FOTOV.CALDENES DEL OESTE,SOL,FOTOVOLTAICA,24.75,SAN LUIS,Juan Martín de Pueyrredón,,Interconectado MEM,,SFV-1036,,cammesa,"{""type"":""Point"",""coordinates"":[-66.38711944,-33.29868333]}"
P.S. La Cumbre,CUMBFV,Fotovoltaica,PQUE FOTOVOLTAICO LA CUMBRE,SOL,FOTOVOLTAICA,22,SAN LUIS,Juan Martín de Pueyrredón,,Interconectado MEM,,SFV-1041,,cammesa,"{""type"":""Point"",""coordinates"":[-66.1710730810198,-33.3186717325157]}"
C.T ZARATE,ZARA,Térmica,CT LAS PALMAS 2 - ARAUCARIA,TG,TURBO GAS,212.2,BUENOS AIRES,Zárate,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.1254096937607,-34.0809289398241]}"
PE La Castellana,LCASEO,Eólica,P.EOLICO LA CASTELLANA,EOL,EOLICA,100.8,BUENOS AIRES,Villarino,,Interconectado MEM,,EOL-35,,cammesa,"{""type"":""Point"",""coordinates"":[-62.7086780619504,-38.628586478119]}"
P.S. Nonogasta,NONOFV,Fotovoltaica,PQUE FOTOVOLTAICO NONOGASTA,SOL,FOTOVOLTAICA,35,LA RIOJA,Chilecito,,Interconectado MEM,,SFV-1015,,cammesa,"{""type"":""Point"",""coordinates"":[-67.4243887241966,-29.3305060508876]}"
P.E. Achiras,ACHIEO,Eólica,P.EOLICO ACHIRAS,EOL,EOLICA,48,CORDOBA,Río Cuarto,,Interconectado MEM,,EOL-1037,,cammesa,"{""type"":""Point"",""coordinates"":[-65.0800585438703,-33.213183892154]}"
V.MARIA UENSA,VMA2,Térmica,CT VILLA MARIA - CT VILLA MARIA CIERRE CC-UENSA,CC,TURBO GAS - TURBO VAPOR,255.22,CORDOBA,General San Martín,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-63.1742638766956,-32.4261824496336]}"
BIO R.Cuarto 1,BRC1,Biogas,C.BIOELECT.R.CUARTO1 REN2 - CENTRAL BIOELECTRICA R.CUARTO1,BIOG,BIOGAS,3.56,CORDOBA,Río Cuarto,,Interconectado MEM,,BG-01,,cammesa,"{""type"":""Point"",""coordinates"":[-64.3848904132218,-33.1845454751938]}"
BIO R.Cuarto 2,BRC2,Biogas,C.BIOELECT.R.CUARTO2 REN1 - C.BIOELECT.R.CUARTO2 REN2,BIOG,BIOGAS,2.4,CORDOBA,Río Cuarto,,Interconectado MEM,,BG-02,,cammesa,"{""type"":""Point"",""coordinates"":[-64.3819398598943,-33.1804874925214]}"
PS Las Lomitas,LLOMFV,Fotovoltaica,PQUE FOTOVOLTAICO LAS LOMITAS,SOL,FOTOVOLTAICA,1.7,SAN JUAN,Albardón,VA. GRAL SAN MARTIN,Interconectado MEM,,SFV-1057,,cammesa,"{""type"":""Point"",""coordinates"":[-68.4779055555557,-31.4070111111109]}"
PMADRYN I ENARS,PMA1EO,Eólica,P.EOLICO MADRYN 1 GENNEIA,EOL,EOLICA,71.1,CHUBUT,Biedma,,Interconectado MEM,,EOL-202-03,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2296969917301,-42.7054567790176]}"
PMADRYNII ENARS,PMA2EO,Eólica,P.EOLICO MADRYN 2 GENNEIA,EOL,EOLICA,151.2,CHUBUT,Biedma,,Interconectado MEM,,EOL-202-04,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2842388485664,-42.7041207618498]}"
PE Chubut Norte,CHNOEO,Eólica,P.EOLICO CHUBUT NOR 1 GENNEIA,EOL,EOLICA,28.8,CHUBUT,Biedma,,Interconectado MEM,,EOL-08,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1198477783124,-42.5749541659022]}"
P.E. Garayalde,GARAEO,Eólica,P.EOLICO GARAYALDE,EOL,EOLICA,24.15,CHUBUT,Florentino Ameghino,,Interconectado MEM,,EOL-22,,cammesa,"{""type"":""Point"",""coordinates"":[-66.4738252071533,-44.5314918646189]}"
Parque Solar Chepes LEDLAR,CHEPFV,Fotovoltaica,PARQUE SOLAR CHEPES,SOL,FOTOVOLTAICA,2,LA RIOJA,Rosario Vera Peñaloza,,Interconectado MEM,,MAT-SFV-62,,cammesa,"{""type"":""Point"",""coordinates"":[-66.65643232589,-31.3499542323542]}"
C.T. PRODEMAN BIOENERGIA,PROD,Biomasa,CT PRODEMAN BIOENERGÍA,BIOM,BIOMASA,,CORDOBA,Juárez Celman,GENERAL CABRERA,Interconectado MEM,,BM-401,,cammesa,"{""type"":""Point"",""coordinates"":[-63.8653321415878,-32.7940872173878]}"
C.T. TICINO BIOMASA S.A.,TICI,Biomasa,GENERACION TICINO BIOMASA SA,BIOM,BIOMASA,,CORDOBA,General San Martín,,Interconectado MEM,,BM-405,,cammesa,"{""type"":""Point"",""coordinates"":[-63.4338289952888,-32.6999058301857]}"
P.S. Tinogasta,TINOFV,Fotovoltaica,PQUE SOLAR TINOGASTA I,SOL,FOTOVOLTAICA,15,CATAMARCA,Tinogasta,,Interconectado MEM,,SFV-1020,,cammesa,"{""type"":""Point"",""coordinates"":[-67.5516325643768,-28.0355099474043]}"
P.S. TINOGASTA II,TIN2FV,Fotovoltaica,PQUE SOLAR TINOGASTA II,SOL,FOTOVOLTAICA,7,CATAMARCA,Tinogasta,,Interconectado MEM,,SFV-200,,cammesa,"{""type"":""Point"",""coordinates"":[-67.5538331909763,-28.0385145512532]}"
P.S. Fiambala,FIAMFV,Fotovoltaica,PQUE SOLAR FIAMBALA,SOL,FOTOVOLTAICA,11,CATAMARCA,Tinogasta,,Interconectado MEM,,SFV-1018,,cammesa,"{""type"":""Point"",""coordinates"":[-67.64222222,-27.73944444]}"
P.S. Saujil,SAUJFV,Fotovoltaica,PQUE SOLAR SAUJIL,SOL,FOTOVOLTAICA,22.5,CATAMARCA,Pomán,,Interconectado MEM,,SFV-1021,,cammesa,"{""type"":""Point"",""coordinates"":[-66.224565862773,-28.1655377327533]}"
P.S. Ullum N1,ULN1FV,Fotovoltaica,PQUE SOLAR ULLUM 1,SOL,FOTOVOLTAICA,25,SAN JUAN,Ullum,,Interconectado MEM,,SFV-1046,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6673540040889,-31.3318183479717]}"
P.S. Ullum N2,ULN2FV,Fotovoltaica,PQUE SOLAR ULLUM 2,SOL,FOTOVOLTAICA,25,SAN JUAN,Ullum,,Interconectado MEM,,SFV-1045,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6669035042278,-31.3419724442958]}"
P.S. Ullum 3,ULL3FV,Fotovoltaica,PQUE SOLAR ULLUM 3,SOL,FOTOVOLTAICA,32,SAN JUAN,Ullum,,Interconectado MEM,,SFV-1032,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6727653202918,-31.3340330695839]}"
VILLALONGA EOLI,VLONEO,Eólica,P.EOLICO VILLALONGA,EOL,EOLICA,51.75,BUENOS AIRES,Patagones,,Interconectado MEM,,EOL-06,,cammesa,"{""type"":""Point"",""coordinates"":[-62.6587581711411,-40.0267501954804]}"
EÓLICO VILLALONGA II GENNEIA (MATER),VLO2EO,Eólica,GENNEIA RENOVABLES MATER,EOL,EOLICA,3.45,BUENOS AIRES,Patagones,,Interconectado MEM,,MAT-EOL-40,,cammesa,"{""type"":""Point"",""coordinates"":[-62.6597806909338,-40.0397305177978]}"
PS. Iglesia Guañizuil,IGLEFV,Fotovoltaica,PQUE FOTOV. CORDILLERA SOLAR,SOL,FOTOVOLTAICA,80,SAN JUAN,Iglesia,,Interconectado MEM,,SFV-1049,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2908689357819,-30.3565942598897]}"
Parque eolico ALUAR I (MATER),ALU1EO,Eólica,P.EOLICO ALUAR I MATER,EOL,EOLICA,68.4,CHUBUT,Biedma,,Interconectado MEM,,MAT-EOL-03,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2722794718422,-42.6087727361642]}"
PAH L.D.CUYO EN,LDCUHI,Hidroeléctrica (Menor a 50 Mw),PAH CT MENDOZA - ENARSA,HI<50,HIDRAULICA <=50,1,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,GEN-PAH-01,,cammesa,"{""type"":""Point"",""coordinates"":[-68.9312299311865,-33.0463842204093]}"
PAH LUJANITA EN,LUJAHI,Hidroeléctrica (Menor a 50 Mw),PAH LA LUJANITA - SIRJ SRL,HI<50,HIDRAULICA <=50,1.7,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,GEN-PAH-02,,cammesa,"{""type"":""Point"",""coordinates"":[-68.9113071992376,-33.0427367618289]}"
P.E.  Bicentenario,BICEEO,Eólica,P.EOLICO BICENTENARIO 1,EOL,EOLICA,100.8,SANTA CRUZ,Deseado,,Interconectado MEM,,EOL-1020,,cammesa,"{""type"":""Point"",""coordinates"":[-66.9979024905904,-47.2984010968566]}"
Parque Eólico del Bicentenario II (MATER),BIC2EO,Eólica,P.EOLICO BICENTENARIO 2,EOL,EOLICA,25.2,SANTA CRUZ,Deseado,,Interconectado MEM,,MAT-EOL-16,,cammesa,"{""type"":""Point"",""coordinates"":[-67.0135494327743,-47.3098602165833]}"
P.S. La Cumbre II,CUM2FV,Fotovoltaica,PQUE FOTOV.LA CUMBRE 2 MATER,SOL,FOTOVOLTAICA,4,SAN LUIS,Juan Martín de Pueyrredón,,Interconectado MEM,,MAT-SFV-52,,cammesa,"{""type"":""Point"",""coordinates"":[-66.1686124225317,-33.3234068432075]}"
P.S. Pasip,PASIFV,Fotovoltaica,PQUE SOLAR FTV PASIP PALMIRA,SOL,FOTOVOLTAICA,1.15,MENDOZA,San Martín,,Interconectado MEM,,SFV-1005,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5419837229767,-33.0375396729986]}"
S. de la Punta,SPUNFV,Fotovoltaica,PQUE SOLAR FTV DE LA PUNTA,SOL,FOTOVOLTAICA,5,SAN LUIS,Juan Martín de Pueyrredón,,Interconectado MEM,,SFV-202-01,,cammesa,"{""type"":""Point"",""coordinates"":[-66.3498128273043,-33.19333825598]}"
C.T. AVELLANEDA. SANTA FE,AVEL,Biogas,BIOGAS CT AVELLANEDA SECCO,BIOG,BIOGAS,6.3,SANTA FE,General Obligado,,Interconectado MEM,,BG-526,,cammesa,"{""type"":""Point"",""coordinates"":[-59.6407494605358,-29.1179308220029]}"
Parque de los Llanos (MATER),LLANFV,Fotovoltaica,PQUE SOLAR PQUE DE LOS LLANOS,SOL,FOTOVOLTAICA,20,LA RIOJA,Chamical,,Interconectado MEM,,MAT-SFV-37,,cammesa,"{""type"":""Point"",""coordinates"":[-66.314,-30.296]}"
C.T. ENSENADA. BRS,ENRS,Biogas,BIOGAS RS CT ENSENADA SECCO,BIOG,BIOGAS,5.3,BUENOS AIRES,Ensenada,GRAN BUENOS AIRES,Interconectado MEM,,BRS-603,,cammesa,"{""type"":""Point"",""coordinates"":[-57.96610648,-34.85173705]}"
P.E. Pomona I,POM1EO,Eólica,P.EOLICO POMONA 1 - RENOVAR,EOL,EOLICA,101.4,RIO NEGRO,Avellaneda,,Interconectado MEM,,EOL-1009,,cammesa,"{""type"":""Point"",""coordinates"":[-65.7269393892206,-39.5593342672555]}"
Parque Eólico POMONA II (MATER),POM2EO,Eólica,GENNEIA RENOVABLES MATER,EOL,EOLICA,11.7,RIO NEGRO,Avellaneda,,Interconectado MEM,,MAT-EOL-31,,cammesa,"{""type"":""Point"",""coordinates"":[-65.7265611056351,-39.5598161114947]}"
P.S. Ullum 4,ULL4FV,Fotovoltaica,C.FOTOV. ULLUM IV SOLARGEN,SOL,FOTOVOLTAICA,13.5,SAN JUAN,Ullum,,Interconectado MEM,,SFV-1037,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6781011237919,-31.3852446329026]}"
P.S. ULLUM 4 (AMPLIACION MATER),UL42FV,Fotovoltaica,C.FOTOV. ULLUM SOLARGEN2 MATER,SOL,FOTOVOLTAICA,7,SAN JUAN,Ullum,,Interconectado MEM,,MAT-SFV-54,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6803779519517,-31.3907221560287]}"
P.E. Pampa Energía III,BAHIEO,Eólica,P.EOLICO PAMPA ENERGIA,EOL,EOLICA,50.4,BUENOS AIRES,Coronel de Marina Leonardo Rosales,,Interconectado MEM,,EOL-1045,,cammesa,"{""type"":""Point"",""coordinates"":[-61.7716463856515,-38.7529890074735]}"
Parque Eólico Pampa Energía (MATER),PAMEEO,Eólica,P.EOLICO PAMPA ENERGIA,EOL,EOLICA,50.4,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,MAT-EOL-14,,cammesa,"{""type"":""Point"",""coordinates"":[-62.0021781962618,-38.6958608623354]}"
P.S. Cafayate,CAFAFV,Fotovoltaica,PARQUE FOTOV. CAFAYATE,SOL,FOTOVOLTAICA,80,SALTA,Cafayate,,Interconectado MEM,,SFV-1012,,cammesa,"{""type"":""Point"",""coordinates"":[-65.9179475960318,-26.0325876427206]}"
AGUA DEL CAJON,ACAJ,Térmica,C.T. AGUA DEL CAJON,CC,TURBO GAS,184.4,NEUQUEN,Confluencia,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.3573071477174,-38.9363104539428]}"
MAR DEL PLATA 2,MDP2,Térmica,CT 9 de JULIO C Cost ATLANTICA,TG,TURBO GAS,94.74,BUENOS AIRES,General Pueyrredón,MAR DEL PLATA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.546294154991,-38.0509628204351]}"
CATAMARC DELIV,CATD,Térmica,CT CATAMARCA - SECCO,DI,MOTOR DIESEL,19.2,CATAMARCA,Capital,GRAN SAN FERNANDO DEL VALLE DE CATAMARCA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.764819669269,-28.4707876252028]}"
NIDERA JUNIN,NIDE,Biomasa,NIDERA SAFORCADA-Junin,BIOM,BIOMASA,,BUENOS AIRES,Junín,,Interconectado MEM,,SPT-BM-03,,cammesa,"{""type"":""Point"",""coordinates"":[-61.0309162386964,-34.5867567410843]}"
RÍO TERC SOENER,SERT,Térmica,CT RIO TERCERO II - SoENERGY,TG,TURBO GAS,60,CORDOBA,Tercero Arriba,RIO TERCERO,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.1547460504462,-32.1606052841875]}"
INDEP 2 ETAP 1,IND1,Térmica,CT INDEPEND. ETAPA1 G MEDITERR,TG,TURBO GAS,49.6,TUCUMAN,Capital,GRAN SAN MIGUEL DE TUCUMÁN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2232635656021,-26.8646491480392]}"
INDEP 2 ETAP 2,IND2,Térmica,CT INDEPEND. ETAPA2 G MEDITERR,TG,TURBO GAS,49,TUCUMAN,Capital,GRAN SAN MIGUEL DE TUCUMÁN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2233264195735,-26.8649967849232]}"
Loma Campana 2,LCA2,Térmica,CT LOMA CAMPANA 2 -Y-GEN ELECT,TG,TURBO GAS,107,NEUQUEN,Añelo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.7148393936856,-38.3598012510582]}"
ELECTROPAT.,ELEP,Térmica,ELECTROPATAGONIA-C.RIV-C.COMB.,CC,TURBO GAS - TURBO VAPOR,63,CHUBUT,Escalante,GRAN COMODORO RIVADAVIA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-67.4426058715665,-45.8151420547064]}"
P.ROCA CHACO,PROC,Térmica,CT PRESIDENCIA ROCA,DI,MOTOR DIESEL,6,CHACO,Libertador General San Martín,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.553848337272,-26.157233921512]}"
Parque Eólico La Castellana II (MATER),LCA2EO,Eólica,P.EOLICO LA GENOVEVA II MATER,EOL,EOLICA,15.2,BUENOS AIRES,Villarino,,Interconectado MEM,,MAT-EOL-11,,cammesa,"{""type"":""Point"",""coordinates"":[-62.7636222959294,-38.6217542370367]}"
P.E. DIADEMA II,DIA2EO,Eólica,P.EOLICO DIADEMA 2,EOL,EOLICA,27.6,CHUBUT,Escalante,,Interconectado MEM,,EOL-049,,cammesa,"{""type"":""Point"",""coordinates"":[-67.6658287454249,-45.7542430523486]}"
Parque eólico Autogeneración ALUAR,ALUAEO,Eólica,ALUAR SA AUTOGENERADOR REN.,EOL,EOLICA,93.6,CHUBUT,Biedma,,Interconectado MEM,,MAT-EOL-68,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2842963234394,-42.6351158783007]}"
Parque Eólico Vientos La Genoveva II (MATER),GNV2EO,Eólica,P.EOLICO LA GENOVEVA II MATER,EOL,EOLICA,41.8,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,MAT-EOL-20,,cammesa,"{""type"":""Point"",""coordinates"":[-61.9280517916148,-38.563043156245]}"
P.E. ARAUCO II (ETAPA 1 Y 2),AR21EO,Eólica,P.EOLICO V ARAUCO II RENOV 1,EOL,EOLICA,99.75,LA RIOJA,Arauco,,Interconectado MEM,,EOL-46,,cammesa,"{""type"":""Point"",""coordinates"":[-66.7053853647631,-28.7132513750767]}"
P.E. ENERGETICA I fase 2 (MATER),EN1MEO,Eólica,P.EOLICO LA ENERGETICA MATER,EOL,EOLICA,19.95,BUENOS AIRES,Tornquist,,Interconectado MEM,,MAT-EOL-17,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2467919468163,-38.3595506224662]}"
C.T. COGENERACIÓN INGENIO LEALES,LEAL,Biomasa,CTBM INGENIO LEALES,BIOM,BIOMASA,2,TUCUMAN,Leales,PALA PALA-VILLA FIAD - INGENIO LEALES,Interconectado MEM,,BM-400,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2288798655749,-27.0740667359836]}"
C.T. CITRUSVIL,CITR,Biogas,BIOGAS CTBG CITRUSVIL-ALCOVIL,BIOG,BIOGAS,3,TUCUMAN,Cruz Alta,,Interconectado MEM,,BG-527,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1358881505995,-26.8524501526472]}"
Cerros del Sol,CSOLFV,Fotovoltaica,PQUE FOTOV.CERROS DEL SOL,SOL,FOTOVOLTAICA,5,SAN LUIS,Juan Martín de Pueyrredón,,Interconectado MEM,,SFV-202-02,,cammesa,"{""type"":""Point"",""coordinates"":[-66.3494150934467,-33.1862483312432]}"
Planta fotovoltaica Solar de los Andes (MATER),SANDFV,Fotovoltaica,PQUE FOTOV.SOLAR DE LOS ANDES,SOL,FOTOVOLTAICA,5,MENDOZA,Santa Rosa,,Interconectado MEM,,MAT-SFV-41,,cammesa,"{""type"":""Point"",""coordinates"":[-68.1920477400313,-33.11023239422]}"
Parque eólico Manque,MANQEO,Eólica,P.EOLICO LA GENOVEVA II MATER,EOL,EOLICA,57,CORDOBA,Río Cuarto,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.0750775827662,-33.2287530621434]}"
Parque eólico San Jorge y El Mataco,SJMTEO,Eólica,P.EOLICO MATACO 3 PICOS,EOL,EOLICA,203.4,BUENOS AIRES,Tornquist,,Interconectado MEM,,EOL-022,,cammesa,"{""type"":""Point"",""coordinates"":[-62.280614027286,-38.3371446458966]}"
C.At.Necochea I,NEC1EO,Eólica,P.EOLICO VIENTOS DE NECOCHEA,EOL,EOLICA,37.95,BUENOS AIRES,Necochea,,Interconectado MEM,,EOL-1048,,cammesa,"{""type"":""Point"",""coordinates"":[-58.8277594987705,-38.6167614619435]}"
C.T. PERGAMINO,PERG,Biogas,BIOGAS CTBG PERGAMINO,BIOG,BIOGAS,2.4,BUENOS AIRES,Pergamino,,Interconectado MEM,,BG-522,,cammesa,"{""type"":""Point"",""coordinates"":[-60.5387178903779,-33.9239025723866]}"
PE La Banderita,BANDEO,Eólica,P.EOLICO LA BANDERITA,EOL,EOLICA,39.6,LA PAMPA,Utracán,,Interconectado MEM,,EOL-1019,,cammesa,"{""type"":""Point"",""coordinates"":[-64.7615804997641,-37.4872035835326]}"
C.T.  LAS JUNTURAS,JUNT,Biomasa,CTBM. GENERACIÓN LAS JUNTURAS,BIOM,BIOMASA,0.6,CORDOBA,Río Segundo,,Interconectado MEM,,BM-411,,cammesa,"{""type"":""Point"",""coordinates"":[-63.4311528216559,-31.8297393024382]}"
C.T. GIGENA I,GIG1,Biogas,BIOGAS CTBG GIGENA I,BIOG,BIOGAS,1.2,CORDOBA,Río Cuarto,,Interconectado MEM,,BG-528,,cammesa,"{""type"":""Point"",""coordinates"":[-64.1952096899799,-32.7857492998458]}"
C.T. BIO JUSTO DARACT,JDAR,Biogas,BIOGAS CTBG JUSTO DARACT,BIOG,BIOGAS,1,SAN LUIS,General Pedernera,,Interconectado MEM,,BG-516,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1750318599056,-33.9133243651144]}"
H Tib. Benegas,TBENHI,Hidroeléctrica (Menor a 50 Mw),PAH DIQUE TIBURCIO BENEGAS,HI<50,HIDRAULICA <=50,1.7,MENDOZA,Junín,,Interconectado MEM,Si,PAH-03,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6802428675527,-33.2430172094971]}"
Proyecto Solar Los Diaguitas (MATER),DIAGFV,Fotovoltaica,PQUE SOLAR DIAGUITAS-TAMBERIAS,SOL,FOTOVOLTAICA,1.8,SAN JUAN,Albardón,,Interconectado MEM,,MAT-SFV-35,,cammesa,"{""type"":""Point"",""coordinates"":[-68.4565008236592,-31.3691772759506]}"
Parque eólico Los Olivos,OLIVEO,Eólica,P.EOLICO LA GENOVEVA II MATER,EOL,EOLICA,22.8,CORDOBA,Río Cuarto,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.0757734551235,-33.2317677258083]}"
P.E. ENERGETICA I,ENE1EO,Eólica,P.EOLICO LA ENERGETICA Renov2,EOL,EOLICA,79.8,BUENOS AIRES,Tornquist,,Interconectado MEM,,EOL-003,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2193064650955,-38.3573428739585]}"
PE GARCÍA DEL RÍO,GRIOEO,Eólica,P.EOLICO GARCIA DEL RIO,EOL,EOLICA,10,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,EOL-14,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2597450915292,-38.4068292847257]}"
P.A.H. LUNLUNTA,LUNLHI,Hidroeléctrica (Menor a 50 Mw),PAH LUNLUNTA - [EMESA],HI<50,HIDRAULICA <=50,6.34,MENDOZA,Maipú,,Interconectado MEM,Si,PAH-712,,cammesa,"{""type"":""Point"",""coordinates"":[-68.7978372116223,-33.0437748575385]}"
BM Santa Rosa,BSRO,Biomasa,CT BIOMASA SANTA ROSA CORRIENT,BIOM,BIOMASA,15,CORRIENTES,Concepción,,Interconectado MEM,,BM-01,,cammesa,"{""type"":""Point"",""coordinates"":[-58.0671005896401,-28.2381943835166]}"
P.S. ANCHIPURAC,ANPCFV,Fotovoltaica,PQUE SOLAR ANCHIPURAC MATER,SOL,FOTOVOLTAICA,3,SAN JUAN,Rivadavia,,Interconectado MEM,,MAT-SFV-50,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6502214540611,-31.6015925811659]}"
C.T. VILLA DEL ROSARIO,VROS,Biogas,BIOGAS CTBG VILLA DEL ROS. CGY,BIOG,BIOGAS,1,CORDOBA,Río Segundo,,Interconectado MEM,,BG-529,,cammesa,"{""type"":""Point"",""coordinates"":[-63.5528942685059,-31.5770934604937]}"
C.T. SAN ALONSO,ALON,Biomasa,CTBM San Alonso,BIOM,BIOMASA,,CORRIENTES,Santo Tomé,,Interconectado MEM,,BM-410,,cammesa,"{""type"":""Point"",""coordinates"":[-56.0008710501792,-27.945407799224]}"
P.E. VIENTOS NEUQUINOS I,NEU1EO,Eólica,P.EOLICO VIENTOS NEUQUINOS I,EOL,EOLICA,100.485,NEUQUEN,Collón Curá,,Interconectado MEM,,MAT-EOL-55,,cammesa,"{""type"":""Point"",""coordinates"":[-69.7674332655854,-39.7454074857567]}"
P.E. LA GENOVEVA,GNV1EO,Eólica,P.EOLICO LA GENOVEVA I REN2,EOL,EOLICA,88.2,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,EOL-041,,cammesa,"{""type"":""Point"",""coordinates"":[-61.9442952415619,-38.5553301840983]}"
P.E. CHUBUT NORTE IV,CHN4EO,Eólica,P.EOLICO CHUBUT NOR 4 GENNEIA,EOL,EOLICA,83.22,CHUBUT,Biedma,,Interconectado MEM,,EOL-016,,cammesa,"{""type"":""Point"",""coordinates"":[-65.19153851,-42.56166329]}"
P.E. CHUBUT NORTE III,CHN3EO,Eólica,P.EOLICO CHUBUT NOR 3 GENNEIA,EOL,EOLICA,57.66,CHUBUT,Biedma,,Interconectado MEM,,EOL-020,,cammesa,"{""type"":""Point"",""coordinates"":[-65.18158513,-42.61023352]}"
P.E. CHUBUT NORTE II,CHN2EO,Eólica,GENNEIA RENOVABLES MATER,EOL,EOLICA,26.28,CHUBUT,Biedma,,Interconectado MEM,,MAT-EOL-08,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1225192748749,-42.5703430506174]}"
P.E. Kosten,KOSTEO,Eólica,P.EOLICO KOSTEN,EOL,EOLICA,24,CHUBUT,Escalante,,Interconectado MEM,,EOL-33,,cammesa,"{""type"":""Point"",""coordinates"":[-68.0553332010916,-45.8090837594069]}"
CG La Plata YPF,LPLC,Térmica,YPF LA PLATA COGENERACION,CC,TURBO GAS,90.2,BUENOS AIRES,Berisso,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.9203737093718,-34.8944964968605]}"
Proyecto Solar Tamberias (MATER),TAMBFV,Fotovoltaica,PQUE SOLAR DIAGUITAS-TAMBERIAS,SOL,FOTOVOLTAICA,2.7,SAN JUAN,Calingasta,,Interconectado MEM,,MAT-SFV-46,,cammesa,"{""type"":""Point"",""coordinates"":[-69.464790478016,-31.3969514252215]}"
L.BLANC 2 ENARS,LOM2EO,Eólica,P.EOLICO LOMA BLANCA 2,EOL,EOLICA,51.2,CHUBUT,Rawson,,Interconectado MEM,,EOL-202-09,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2137377312297,-43.0283879496958]}"
